depth,time,nodes,prunes,is_optimize
1,0.0039982795715332,8,0,1
1,0.0040063858032226,9,0,1
1,0.0029945373535156,8,0,1
1,0.0029692649841308,8,0,1
1,0.0029983520507812,10,0,1
1,0.0029997825622558,8,0,1
1,0.0030498504638671,8,0,1
1,0.003019094467163,8,0,1
1,0.0036091804504394,7,0,1
1,0.0019962787628173,7,0,1
1,0.0020110607147216,7,0,1
1,0.00199556350708,7,0,1
1,0.0025439262390136,8,0,1
1,0.0032403469085693,6,0,1
1,0.002124547958374,8,0,1
1,0.0029871463775634,7,0,1
1,0.0029938220977783,8,0,1
1,0.0019974708557128,8,0,1
1,0.0019655227661132,7,0,1
1,0.0020222663879394,8,0,1
1,0.0020103454589843,9,0,1
1,0.0019977092742919,8,0,1
1,0.0009975433349609,7,0,1
1,0.00191330909729,8,0,1
1,0.0029990673065185,9,0,1
1,0.0010106563568115,7,0,1
1,0.0010032653808593,7,0,1
1,0.0010297298431396,7,0,1
1,0.0009994506835937,7,0,1
1,0.00099778175354,7,0,1
1,0.001016616821289,7,0,1
1,0.0010817050933837,5,0,1
1,0.0010819435119628,4,0,1
1,0.001000165939331,6,0,1
1,0.0009911060333251,5,0,1
2,0.0241429805755615,21,6,1
2,0.0229063034057617,22,6,1
2,0.0229964256286621,22,6,1
2,0.0179967880249023,23,4,1
2,0.0195114612579345,18,5,1
2,0.0159988403320312,17,5,1
2,0.0109946727752685,15,4,1
2,0.0200679302215576,22,4,1
2,0.0140187740325927,16,4,1
2,0.0090358257293701,21,3,1
2,0.0213568210601806,31,3,1
2,0.0120015144348144,16,5,1
2,0.0069799423217773,19,1,1
2,0.0205163955688476,23,5,1
2,0.016005516052246,26,5,1
2,0.0165133476257324,23,5,1
2,0.0170235633850097,25,6,1
2,0.0230069160461425,41,8,1
2,0.0139942169189453,34,6,1
2,0.0220043659210205,33,5,1
2,0.0260124206542968,40,8,1
2,0.0199947357177734,33,8,1
2,0.0109970569610595,26,6,1
2,0.0219874382019042,34,7,1
2,0.0189960002899169,38,8,1
2,0.0220310688018798,46,9,1
2,0.0120072364807128,32,6,1
2,0.0199918746948242,30,6,1
2,0.0169985294342041,34,7,1
2,0.0205504894256591,37,7,1
2,0.017974853515625,37,7,1
2,0.0249993801116943,47,8,1
2,0.0243158340454101,35,8,1
2,0.024207592010498,27,8,1
2,0.0316934585571289,52,8,1
2,0.0199995040893554,23,6,1
2,0.0206167697906494,26,6,1
2,0.0169987678527832,24,6,1
2,0.0170037746429443,23,5,1
2,0.0140891075134277,20,4,1
2,0.0189988613128662,24,5,1
2,0.0125274658203125,51,3,1
2,0.0220005512237548,30,10,1
2,0.0089964866638183,19,5,1
2,0.0080046653747558,19,4,1
2,0.0189130306243896,52,7,1
3,0.0532755851745605,112,11,1
3,0.090822696685791,183,11,1
3,0.0887341499328613,177,14,1
3,0.0704877376556396,145,14,1
3,0.068511962890625,116,13,1
3,0.0549912452697753,109,14,1
3,0.0448777675628662,89,10,1
3,0.0404286384582519,106,11,1
3,0.0259919166564941,71,9,1
3,0.0355308055877685,64,9,1
3,0.0567877292633056,141,9,1
3,0.0333549976348876,117,13,1
3,0.0444948673248291,109,12,1
3,0.0399999618530273,105,9,1
3,0.052976369857788,99,13,1
3,0.080707311630249,211,20,1
3,0.0412981510162353,90,12,1
3,0.0468506813049316,96,13,1
3,0.0603542327880859,114,21,1
3,0.013092041015625,31,4,1
3,0.0241332054138183,51,12,1
3,0.0457618236541748,100,22,1
3,0.0410077571868896,87,15,1
3,0.0624361038208007,105,20,1
3,0.0662665367126464,118,26,1
3,0.1067404747009277,119,27,1
3,0.095632791519165,276,45,1
3,0.0904264450073242,247,46,1
3,0.0835356712341308,228,46,1
3,0.03391695022583,65,14,1
3,0.0382356643676757,91,24,1
3,0.0592756271362304,84,21,1
3,0.0298597812652587,82,17,1
3,0.0199112892150878,70,16,1
3,0.0339002609252929,68,16,1
3,0.027073860168457,62,14,1
3,0.0159924030303955,33,10,1
3,0.0174241065979003,29,9,1
3,0.0169880390167236,39,10,1
4,0.2514064311981201,234,71,1
4,0.3977651596069336,396,117,1
4,0.5043723583221436,585,134,1
4,0.6165974140167236,877,186,1
4,0.4469263553619385,431,133,1
4,0.4417791366577148,728,174,1
4,0.5969879627227783,861,204,1
4,0.8947649002075195,1434,324,1
4,0.5045175552368164,628,196,1
4,0.2587311267852783,399,116,1
4,0.150977611541748,259,77,1
4,0.3340311050415039,421,151,1
4,0.2868509292602539,468,119,1
4,0.277785062789917,604,153,1
4,0.1289038658142089,323,83,1
4,0.1317195892333984,262,70,1
4,0.1232607364654541,323,93,1
4,0.2038078308105468,340,115,1
